"Class Labels","f1-score","precision","recall","support","Training_Samples","Testing_Samples"
"Other",0.63,0.63,0.63,180,375,180
"Correspondence",0.93,0.92,0.94,307,627,307
"Production-Operation report",0.81,0.84,0.78,251,473,251
"Leases",0.77,0.74,0.81,321,682,321
"Division orders",0.85,0.88,0.82,154,354,154
"Assignments, deeds, conveyances",0.79,0.79,0.79,320,601,320
"Contract",0.12,0.5,0.07,15,30,15
"micro avg",0.8,0.8,0.8,1548,,
"macro avg",0.7,0.76,0.69,1548,,
"weighted avg",0.8,0.8,0.8,1548,,
